"","Incident_Number","lon","lat"
"437",2014006798,-92.3400087,38.9646476
"438",2014006519,-92.3276853,38.9759208
"439",2014006514,-92.3070577,38.9732618
"440",2014006828,-92.2931207,38.9810591
"441",2014006784,-92.309177,38.9133076
"442",2014006307,-92.3054714,39.0081444
"443",2014006291,-92.3314112,38.9633417
"444",2014006313,-92.3195998,38.9490258
"445",2014006274,-92.3143796,38.9150591
"446",2014006289,-92.3079621,38.9659863
"447",2014006339,-92.3184532,38.9539447
"448",2014007192,-92.3181078,38.9842153
"449",2014007392,-92.3305549,38.9536311
"450",2014007282,-92.3184506,38.9524986
"451",2014007418,-92.2916261,38.9332396
"452",2014007051,-93.9761418,39.0086667
"453",2014007102,-93.9763364,39.0086708
"454",2014007406,-92.3043529,38.9731394
"455",2014007275,-92.3079621,38.9659863
"456",2014007110,-92.3022983,38.9680631
"457",2014007055,-92.2795856,38.9690837
"458",2014007206,-92.3386888,38.953286
"459",2014007036,-93.9763364,39.0086708
"460",2014007060,-93.9761696,39.0086673
"461",2014007402,-92.3275801,38.9625439
"462",2014007112,-93.9761974,39.0086679
"463",2014007088,-92.3440574,38.9050939
"464",2014007386,-92.3289956,38.9637375
"465",2014007236,-92.3351856,38.9175175
"466",2014007271,-92.3689569,38.9609653
"467",2014006892,-92.3364019,38.9639799
"468",2014007086,-92.4312547,38.9716461
"469",2014007456,-92.2931207,38.9810591
"470",2014006957,-92.309177,38.9133076
"471",2014007398,-92.3351856,38.9175175
"472",2014007085,-92.2867917,38.9435138
"473",2014007099,-93.9761974,39.0086679
"474",2014007431,-92.309177,38.9133076
"475",2014007344,-92.3184506,38.9524986
"476",2014007071,-93.9761974,39.0086679
"477",2014007277,-92.2983883,38.9120667
"478",2014007416,-92.3351856,38.9175175
"479",2014007266,-92.3386888,38.953286
"480",2014007059,-92.2814107,38.967434
"481",2014007374,-92.3242614,38.966184
"482",2014007395,-92.3351856,38.9175175
"483",2014007154,-92.3282686,38.9494943
"484",2014008034,-92.3218363,38.9640047
"485",2014008064,-92.3349474,38.9652593
